beatmap_id,rhythm_complexity
3403124,28.35124394
3466140,19.45277589
2582733,18.96288643
3455732,18.39164471
3652298,17.84380989
2006597,16.32430821
3613816,15.27173786
2417422,15.11788011
3440631,15.03344744
3715836,14.98182209
3050529,14.6702038
3613647,14.3334968
3591908,14.21941148
3064687,13.60773604
2476968,13.42330378
3264168,13.31952356
3728565,13.27586305
2431627,13.1704104
3640197,12.90501494
3002063,12.7615093
1396342,12.62851576
3110488,12.5316109
1857321,12.50989674
3618901,12.501222
3440632,12.46088882
2818329,12.4589848
1505568,12.39172026
3256129,12.30288867
3499015,12.19210294
3073983,12.19069828
3045508,12.15148573
2632756,12.04785542
1984424,12.04119192
1529784,11.92351559
2040551,11.88929185
2888635,11.78677692
3619544,11.73906324
2413427,11.64912843
2457802,11.63828626
1513542,11.47537018
2992855,11.33609655
3674037,11.31551701
3551658,11.30403933
3276720,11.25279236
2624072,11.25053246
3066988,11.23931903
3035565,11.18816031
3328852,11.17703823
2450296,11.15198752
3191492,11.01207981
3054701,11.00729065
2983190,10.97323458
2624071,10.89661611
1883681,10.84457101
2643203,10.81517738
3452738,10.76522382
3076004,10.74916349
2969884,10.74064108
3613812,10.72782712
3338304,10.6451271
3141504,10.64218095
2198640,10.61825878
3444608,10.59640421
2332178,10.59388447
3613814,10.53984416
3069381,10.47224186
1528588,10.47149355
2055425,10.33139156
2719326,10.32865822
2868688,10.3187898
2251648,10.31822596
2908653,10.29488732
3816056,10.2297871
2724213,10.22973963
2108178,10.18182461
2842165,10.17770272
3120531,10.16224172
2719327,10.15416945
3618364,10.08548454
3646485,10.06979311
1519257,10.03595526
910822,9.963545138
2676334,9.960220527
2849535,9.937865579
2209919,9.926642868
3259719,9.9078434
3653847,9.904926402
2456973,9.891475251
2828365,9.877696315
3337398,9.839521737
2442335,9.835161317
2303523,9.824774699
1781697,9.819190673
2727880,9.798929064
2841445,9.736510604
3456123,9.700520493
3119298,9.692087646
3380484,9.683167921
3022592,9.587881453
2502505,9.573738874
971086,9.570502694
3724590,9.566933511
2036668,9.545760643
1484261,9.530290542
2529123,9.480333815
2024483,9.434863766
3530608,9.4180525
3378777,9.389384289
1506427,9.357201497
3613813,9.356855052
2457468,9.346717334
3369714,9.312663347
2428214,9.31182148
2264160,9.30866981
3380482,9.298704485
2243830,9.295565733
1513544,9.245539947
2815388,9.232248423
3140221,9.200692919
3508931,9.164621464
1831280,9.14312881
2507131,9.115527091
1536664,9.106870892
2450053,9.08516063
3638672,9.058458229
3395094,9.049489336
2341586,9.047241632
2974850,9.002320411
2418213,8.999224817
3235170,8.994851628
2036666,8.992314514
1947213,8.946683022
3591050,8.922176913
2735614,8.917720041
2983174,8.915124082
1914838,8.912103103
3629575,8.899199227
2643109,8.873541697
2326801,8.873175954
2329587,8.854370423
910820,8.852349216
1914837,8.852147824
3322364,8.845212669
2054197,8.844510596
714026,8.843458349
1985415,8.839568724
3661467,8.832629952
2073258,8.829898132
2643111,8.816142998
2022237,8.814148391
2280667,8.80150799
1209186,8.797329409
1345676,8.778651561
3313424,8.772014897
3119369,8.768538465
3470248,8.766518773
2732884,8.75726139
3044997,8.753708169
3623423,8.710427004
3447308,8.684966835
2689460,8.667207373
3205645,8.666108185
3367757,8.665170063
1521024,8.662874924
2942250,8.646360418
2578246,8.633732609
2952945,8.6197717
2943627,8.61181846
1782567,8.576425908
1401173,8.575433356
2204992,8.574586239
3862170,8.568591424
2266979,8.548383382
3205646,8.52692284
1080850,8.514183018
671850,8.50253687
659359,8.50253687
