53,grid snap
54,grid snap
54,precision
55,grid snap
55,precision
75,grid snap
80,simple
80,streams
80,visually dense
91,grid snap
96,precision
97,precision
108,precision
119,geometric
119,visually dense
123,simple
129,grid snap
129,precision
130,precision
137,grid snap
152,symmetrical
152,repetition
152,precision
159,precision
174,precision
177,iNiS-style
177,port
182,precision
193,geometric
193,finger control
193,visually dense
193,overlap reading
203,visually dense
207,jump aim
207,custom skin
208,custom skin
235,grid snap
239,grid snap
242,flow aim
259,grid snap
259,bursts
259,visually dense
259,clean
261,precision
271,grid snap
271,wide aim
271,linear aim
271,visually dense
271,precision
271,difficulty spike
288,precision
290,precision
292,precision
296,linear aim
296,streams
296,cutstreams
296,avant-garde
296,ninja spinners
298,precision
315,grid snap
315,bursts
315,visually dense
315,precision
339,iNiS-style
340,visually dense
340,precision
341,grid snap
341,precision
344,simple
344,grid snap
344,jump aim
344,precision
348,precision
350,difficulty spike
352,variable timing
357,precision
420,precision
422,precision
423,precision
426,precision
428,precision
455,iNiS-style
456,iNiS-style
627,precision
659,precision
669,precision
713,precision
734,precision
915,precision
954,iNiS-style
955,iNiS-style
960,precision
960,iNiS-style
981,precision
994,precision
1017,precision
1044,grid snap
1045,grid snap
1045,progression
1045,precision
1117,precision
1147,grid snap
1147,streams
1255,simple
1255,grid snap
1255,precision
1304,iNiS-style
1362,precision
1362,video gimmick
1376,precision
1376,iNiS-style
1377,precision
1377,iNiS-style
1409,iNiS-style
1533,iNiS-style
1534,precision
1534,iNiS-style
1562,simple
1562,freeform
1562,precision
1562,download unavailable
1629,precision
1855,precision
1904,precision
2038,simple
2038,grid snap
2038,linear aim
2038,precision
2041,precision
2472,precision
2743,grid snap
2743,gimmick
2743,circle only
2744,circle only
2745,circle only
3204,circle only
3290,precision
3400,precision
3488,precision
3501,precision
3518,precision
3629,grid snap
3629,aim control
3629,flow aim
3670,simple
3670,grid snap
3670,linear aim
3671,simple
3671,grid snap
3671,linear aim
3677,precision
3699,grid snap
3752,grid snap
3752,distance snapped
3752,circle only
3762,grid snap
3766,finger control
3766,bursts
3781,slidershapes
3782,slidershapes
3790,simple
3790,grid snap
3831,grid snap
3831,slidershapes
3851,slidershapes
3884,flow aim
3884,slidershapes
3889,slidershapes
3989,messy
3989,overlap reading
3990,finger control
3990,overlap reading
4009,repetition
4009,visually dense
4074,grid snap
4074,marathon
4075,grid snap
4075,marathon
4204,grid snap
4204,repetition
4204,linear aim
4205,grid snap
4205,repetition
4240,repetition
4240,iNiS-style
4244,precision
4258,precision
4259,precision
4269,precision
4269,swing
4270,swing
4396,grid snap
4396,finger control
4416,simple
4416,iNiS-style
4499,iNiS-style
4500,iNiS-style
4501,iNiS-style
